Genes	MitoDetails
ACAD9	Assembly Complex
NDUFAB1	Complex I
ATP5PB	Complex V
ATP5PD	Complex V
ATP5ME	Complex V
ATP5MG	Complex V
ATP5F1A	Complex V
ATP5F1B	Complex V
ATP5F1D	Complex V
ATPAF1	Assembly Complex
ATPAF2	Assembly Complex
ATP5F1C	Complex V
ATP5MF	Complex V
ATP5PO	Complex V
BCS1L	Assembly Complex
SDHC	Complex II
NDUFAF1	Assembly Complex
COA1	Assembly Complex
COA3	Assembly Complex
COA5	Assembly Complex
COA6	Assembly Complex
COA7	Assembly Complex
MT-CO1	Complex IV
COX11	Assembly Complex
COX17	Assembly Complex
COX19	Assembly Complex
MT-CO2	Complex IV
COX20	Assembly Complex
COX4I1	Complex IV
COX6C	Complex IV
COX7C	Complex IV
COX7A2L	Complex IV
COX6B1	Complex IV
COX7A1	Complex IV
CYC1	Complex III
ECSIT	Assembly Complex
FOXRED1	Assembly Complex
NDUFA2	Complex I
NDUFA3	Complex I
NDUFA5	Complex I
NDUFA6	Complex I
NDUFA7	Complex I
NDUFA8	Complex I
NDUFA9	Complex I
NDUFA10	Complex I
NDUFA11	Complex I
NDUFA12	Complex I
NDUFA13	Complex I
NDUFB1	Complex I
NDUFB3	Complex I
NDUFB4	Complex I
NDUFB5	Complex I
NDUFB6	Complex I
NDUFB7	Complex I
NDUFB8	Complex I
NDUFB9	Complex I
NDUFB10	Complex I
NDUFB11	Complex I
NDUFC2	Complex I
NDUFAF3	Assembly Complex
NDUFAF4	Assembly Complex
NDUFAF5	Assembly Complex
NDUFAF6	Assembly Complex
NDUFAF7	Assembly Complex
NDUFS1	Complex I
NDUFS2	Complex I
NDUFS3	Complex I
NDUFS4	Complex I
NDUFS5	Complex I
NDUFS6	Complex I
NDUFS7	Complex I
NDUFS8	Complex I
NDUFV1	Complex I
NDUFV2	Complex I
NDUFV3	Complex I
MT-ND1	Complex I
MT-ND4	Complex I
MT-ND5	Complex I
NUBPL	Assembly Complex
UQCRC1	Complex III
UQCRC2	Complex III
UQCRH	Complex III
UQCRB	Complex III
UQCRQ	Complex III
UQCR10	Complex III
SCO1	Assembly Complex
SCO2	Assembly Complex
SDHA	Complex II
SDHB	Complex II
SDHAF2	Assembly Complex
SURF1	Assembly Complex
TIMMDC1	Assembly Complex
UQCRFS1	Complex III
UQCC1	Assembly Complex
UQCC2	Assembly Complex
UQCC3	Assembly Complex
