"Entry"	"Protein"	"Protein.names"	"Gene.names"	"Mito"	"GroupReg"	"PADPvalue"	"ModelPvalue"	"PADAdjPval"	"Genenames"	"Anno"	"AgingAnno"	"Gene"	"MitoDetails"	"non-PAD_MD1061_1.18"	"non-PAD_MD1098_1.23"	"non-PAD_MD1121_1.27"	"non-PAD_MD1145_1.22"	"non-PAD_MD1157 _1.33"	"non-PAD_MD1162 _1.14"	"non-PAD_MD1166_1.11"	"non-PAD_MD1176 _1.32"	"non-PAD_MD1178 _1.25"	"non-PAD_MD1181_1.07"	"non-PAD_MD1201 _1.16"	"non-PAD_MD1238 _1.31"	"non-PAD_MD1245_1.2"	"non-PAD_MD1252 _1.09"	"non-PAD_MD1335_1.09"	"non-PAD_MD1353 _1.22"	"non-PAD_MD1369_1.28"	"non-PAD_MD1371_1.12"	"non-PAD_MD1374_1.27"	"non-PAD_MD1427_1.27"	"non-PAD_MD1429_1.28"	"non-PAD_MD1441_1.28"	"non-PAD_MD1443_1.23"	"non-PAD_MD1458_1.22"	"non-PAD_MD1595_1.07"	"non-PAD_MD1607_1.28"	"non-PAD_MD1614_1.2"	"non-PAD_MD1644_1.17"	"PAD_C10181_0.4"	"PAD_C10328_0.6"	"PAD_L10184 _0.81"	"PAD_L11041 _0.54"	"PAD_L11917 _0.92"	"PAD_L15083_0.87"	"PAD_L15258_0.71"	"PAD_L15657_0.84"	"PAD_L15845_0.59"	"PAD_L16378_0.54"	"PAD_L16890_0.97"	"PAD_L17372_0.81"	"PAD_L18347 _0.47"	"PAD_M1608_0.72"	"PAD_M1623_0.88"	"PAD_MD1320 _0.51"	"PAD_P237981_0.75"	"PAD_P271390_0.76"	"PAD_P275131_0.42"	"PAD_P275191_0.76"	"PAD_P291480_0.55"	"PAD_P319287 _0.96"	"PAD_P546291_0.75"	"PAD_R34342_0.52"	"PAD_R47935_0.74"	"PAD_R70797_0.6"	"PAD_R75233_0.45"	"PAD_T10608_0.57"	"PAD_T11097_0.82"	"PAD_T14186_0.45"	"PAD_T16115_0.97"
"ACAD9"	"Q9H845"	"ACAD9_HUMAN"	"Complex I assembly factor ACAD9, mitochondrial (Acyl-CoA dehydrogenase family member 9) (ACAD-9) (EC 1.3.8.-)"	"ACAD9"	TRUE	0.079016442	0.093735468	0.015409679	0.494902788	"ACAD9"	"Respiratory chain"	"Mitochondrion"	"ACAD9"	"Assembly Complex"	-0.034300485	0.059282402	-0.039791492	-0.138061648	-0.208546339	-0.07043251	0.1336337	-0.028034568	0.208603672	0.108657068	0.127011918	-0.023982815	-0.021251636	0.1531316	-0.16516996	-0.122121935	-0.2489587	0.128778313	0.053234858	0.380470331	-0.011364019	0.284135221	-0.086865574	-0.140754149	-0.2600309	-0.077495466	0.080330055	-0.042834825	0.4242985	-0.046614304	0.214037856	-0.13396985	-0.042689232	-0.120576	0.1167959	-0.000486191	-0.03632958	0.098617892	0.343214549	-0.042464191	0.01865598	0.034422399	0.295590602	-0.023169356	-0.07853272	-0.013755276	-0.001613789	0.015160265	-0.023584296	-0.007252449	-0.006370515	-0.5657425	0.002246971	-0.013242889	0.287372083	-0.02885564	0.026621762	0.070057807	-0.442658604
"NDUFAB1"	"O14561"	"ACPM_HUMAN"	"Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)"	"NDUFAB1"	TRUE	0.260466793	0.035090547	0.003595931	0.360833524	"NDUFAB1"	"Respiratory chain"	"Mitochondrion"	"NDUFAB1"	"Complex I"	0.336782963	0.531122216	0.2400516	-1.243023839	-0.473944328	-0.777285117	0.04279667	-0.179100863	0.493456357	0.565229054	-0.06563276	-0.482469191	0.1295111	0.2618805	-0.472840286	-0.172991563	-0.07935606	0.178836112	0.4800294	0.379590605	-0.004715404	1.270281952	-0.162460756	-0.949723539	-0.09551709	0.126157226	0.3327153	-0.640876389	0.1370707	-0.205898179	1.023125414	-0.088600082	-0.055287808	-0.02749203	0.1158012	-0.094100375	-0.3009703	0.721153172	0.274767506	-0.630713058	-0.116363955	0.924564892	0.712013	0.284807364	0.04361126	-0.309860761	-0.553028162	0.072841161	0.148735941	-0.213455	0.08516317	-0.5128103	0.160254487	-0.078243019	0.246389666	-0.1385909	0.44369157	-0.529966941	-0.318584
"ATP5PB"	"P24539"	"AT5F1_HUMAN"	"ATP synthase F(0) complex subunit B1, mitochondrial (ATP synthase peripheral stalk-membrane subunit b) (ATP synthase proton-transporting mitochondrial F(0) complex subunit B1) (ATP synthase subunit b) (ATPase subunit b)"	"ATP5PB ATP5F1"	TRUE	0.11376438	0.01839462	0.014764982	0.294939702	"ATP5F1"	"Respiratory chain"	"Mitochondrion"	"ATP5PB"	"Complex V"	0.125494175	0.061973429	-0.036433365	-0.142273014	-0.426276227	0.023043478	-0.002620359	0.073193035	0.127293034	0.128259305	0.229461776	-0.019495366	-0.118662464	0.03829469	-0.185340858	-0.300281916	-0.11199332	0.173702782	-0.056795139	0.670013767	-0.019601581	-0.019719753	-0.129629651	-0.129313676	-0.016707796	-0.050843332	0.034738191	-0.01217945	0.076326728	-0.00173464	0.37523131	-0.171773363	0.141920046	-0.201460031	0.003089316	0.228365633	0.017705672	0.111569535	0.306807097	0.054538376	-0.08461267	-0.043522587	0.400059534	-0.03486178	0.049698907	-0.011174551	-0.069540883	0.004058246	-0.099218481	0.087489857	-0.003391024	0.285151903	0.027234128	-0.037089468	0.257473733	-0.100446503	0.101449128	-0.248530972	-0.076726161
"ATP5PD"	"O75947"	"ATP5H_HUMAN"	"ATP synthase subunit d, mitochondrial (ATPase subunit d) (ATP synthase peripheral stalk subunit d)"	"ATP5PD ATP5H My032"	TRUE	0.153631044	0.02491701	0.009963926	0.323453448	"ATP5H My032"	"Respiratory chain"	"Mitochondrion"	"ATP5PD"	"Complex V"	0.357675188	0.220018031	-0.01425184	-0.255791967	-0.690872595	-0.071236127	0.108509333	0.174885487	0.389732852	0.10881488	0.244764153	-0.037227201	-0.169825724	0.058916761	-0.535468188	-0.34542804	-0.077574286	0.117466862	-0.083337851	0.799683106	-0.135901009	0.05155216	-0.1543607	-0.211082109	-0.051230935	0.031070288	0.031355339	-0.172044141	0.116957773	-0.06609248	0.458803864	-0.18437395	0.172668205	-0.168358382	-0.015922394	0.29927132	0.00147897	0.229572683	0.270816352	-0.039032958	-0.175160822	-0.011899281	0.428789709	-0.013836433	0.137816294	-0.047296542	-0.138059286	0.062021318	-0.012911317	0.194517879	0.017978355	-0.242361165	0.087377132	0.000254564	0.487407777	-0.181152382	0.258762421	-0.480865655	-0.138560013
"ATP5ME"	"P56385"	"ATP5I_HUMAN"	"ATP synthase subunit e, mitochondrial (ATPase subunit e) (ATP synthase membrane subunit e) [Cleaved into: ATP synthase subunit e, mitochondrial, N-terminally processed]"	"ATP5ME ATP5I ATP5K"	TRUE	0.110306199	0.038263373	0.007536988	0.369773146	"ATP5I ATP5K"	"Respiratory chain"	"Mitochondrion"	"ATP5ME"	"Complex V"	0.18150914	0.166151816	0.03152958	-0.195935265	-0.464460495	-0.077890416	0.104782891	0.15782142	0.229413223	0.200494695	0.1034722	-0.138972512	-0.12502909	0.131561064	-0.250148787	-0.350254799	0.010040049	0.23507705	-0.01261405	0.607571589	-0.056315993	-0.043197234	-0.119697797	-0.218025417	-0.134174942	0.003057812	0.03097329	-0.177575934	0.210470181	-0.103481798	0.43284133	-0.187694928	0.168338779	-0.307829449	-0.067069683	0.302400839	-0.115521107	0.11931247	0.230774903	-0.040133854	-0.186824535	-0.004782812	0.4215809	-0.006342191	0.048719808	-0.019388917	-0.118751167	0.044526822	0.017503149	0.09076933	0.004135171	0.011995248	0.04360443	-0.020732698	0.185900163	-0.2415271	0.23731656	-0.236528518	-0.1068877
"ATP5MG"	"O75964"	"ATP5L_HUMAN"	"ATP synthase subunit g, mitochondrial (ATPase subunit g) (ATP synthase membrane subunit g)"	"ATP5MG ATP5L"	TRUE	0.112651912	0.057699892	0.037863911	0.427772788	"ATP5L"	"Respiratory chain"	"Mitochondrion"	"ATP5MG"	"Complex V"	0.259223267	0.045845966	-0.037600719	-0.173166362	-0.708162727	-0.006885822	0.075263303	0.099918279	0.235653833	0.215253544	0.247904708	-0.060198168	-0.217519617	0.102772671	-0.390636995	-0.168348589	0.001445305	0.191247353	-0.043878431	0.464005955	-0.022632554	-0.010528974	-0.170374718	-0.116340039	-0.104472197	-0.01077697	0.026511288	-0.128160692	0.307374808	-0.020182093	0.350479132	-0.131767246	0.064567454	-0.276177551	-0.019690264	0.222205639	-0.001382179	0.17281426	0.331603842	-0.024369909	-0.14446873	-0.009589974	0.360999125	-0.077215023	0.093253008	-0.015854837	-0.001899665	0.152857662	-0.124630786	0.092148175	0.013024263	-0.487163557	0.022632554	-0.038099296	0.399508653	-0.140272102	0.08261763	-0.397679054	-0.063221416
"ATP5F1A"	"P25705"	"ATPA_HUMAN"	"ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)"	"ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM"	TRUE	0.108686391	0.031373385	0.004182125	0.340317818	"ATP5A1 ATP5A ATP5AL2 ATPM"	"Respiratory chain"	"Mitochondrion"	"ATP5F1A"	"Complex V"	0.204768434	0.107405859	-0.014348147	-0.149110942	-0.458998802	-0.017159405	0.054334793	0.131251789	0.273700636	0.177756897	0.243326602	-0.048088239	-0.134041919	0.002967819	-0.305821947	-0.312198785	-0.023011113	0.184806385	-0.083603169	0.768028884	-0.052403546	0.006847683	-0.147420334	-0.106560198	-0.076476387	-0.017427677	0.015703223	-0.13196711	0.145192279	-0.034779807	0.341011051	-0.192453622	0.085282092	-0.177548546	0.006191849	0.193317387	-0.004810692	0.133466524	0.315666361	-0.043508656	-0.126221289	-0.025417882	0.320636978	-0.052468486	0.076955098	-0.0154958	-0.0636778	0.072125031	0.000918585	0.101577133	0.000190594	-0.113554888	0.045617484	-0.009902631	0.281165271	-0.071399454	0.131657063	-0.303731138	-0.059705819
"ATP5F1B"	"P06576"	"ATPB_HUMAN"	"ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)"	"ATP5F1B ATP5B ATPMB ATPSB"	TRUE	0.108080181	0.025742821	0.002432377	0.325835778	"ATP5B ATPMB ATPSB"	"Respiratory chain"	"Mitochondrion"	"ATP5F1B"	"Complex V"	0.17975357	0.084157134	-0.014062848	-0.090205351	-0.478517508	-0.017123474	0.064219628	0.106095363	0.275197731	0.151392268	0.20958128	-0.032626	-0.137371111	0.001252092	-0.309236637	-0.300897147	-0.016596286	0.20125381	-0.048485147	0.736676141	-0.045301425	0.071845868	-0.176518621	-0.095331418	-0.078144762	-0.035463539	0.017537039	-0.156123721	0.1777402	-0.031785442	0.366910086	-0.183716269	0.062039861	-0.21448659	-0.02095006	0.169900123	0.000751	0.115037047	0.309780758	-0.038835213	-0.10593397	-0.026553169	0.314781547	-0.063114411	0.076031844	-0.021549505	-0.067811027	0.067843116	-0.00676122	0.064077622	-0.006430867	0.017178771	0.053125456	-0.016139306	0.234582973	-0.073266932	0.096324851	-0.261511983	-0.060627386
"ATP5F1D"	"P30049"	"ATPD_HUMAN"	"ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)"	"ATP5F1D ATP5D"	TRUE	0.116219136	0.002511604	0.00078784	0.204614762	"ATP5D"	"Respiratory chain"	"Mitochondrion"	"ATP5F1D"	"Complex V"	0.057449655	0.052989042	-0.01281691	-0.188276026	-0.338211608	-0.051030185	0.02164297	0.113866944	0.185867334	0.078483179	0.139736631	-0.020949897	-0.140404956	0.011733437	-0.243420205	-0.22943306	-0.097445538	0.134097307	-0.025126516	0.555074171	-0.102503215	0.109270089	-0.132077171	-0.082294911	-0.009657035	-0.010926406	0.046445293	-0.103272725	0.021981299	0.000340525	0.323184182	-0.121046485	0.096005229	-0.065069479	-0.044119575	0.164273188	-0.002344583	0.108980205	0.18894411	-0.047157539	-0.110508894	0.001264415	0.26848248	-0.005311849	0.061724274	-0.031984604	-0.038022986	0.038273762	-0.002068653	0.069564412	-0.005132199	0.33160775	0.02982063	-0.000129356	0.175913653	-0.087221998	0.120654207	-0.133690009	-0.077672224
"ATPAF1"	"Q5TC12"	"ATPF1_HUMAN"	"ATP synthase mitochondrial F1 complex assembly factor 1 (ATP11 homolog)"	"ATPAF1 ATP11"	TRUE	0.152431003	0.034078481	0.000757342	0.358036923	"ATPAF1 ATP11"	"Respiratory chain"	"Mitochondrion"	"ATPAF1"	"Assembly Complex"	0.228334061	0.277420699	-0.0473153	-0.407241832	-0.3922574	-0.084585269	-0.01367051	0.191502716	0.626281245	0.5104782	0.1161228	-0.229851859	-0.09013473	0.05156253	-0.247431	-0.519102022	0.0696638	0.199030845	0.08083768	0.878293012	-0.113645666	0.02070947	-0.115689991	-0.36108478	-0.1586335	0.023649255	0.04579209	-0.230705062	0.3259264	-0.148188055	0.514514065	-0.025285811	0.004775604	-0.2003314	0.1928457	0.1052982	-0.003184271	-0.004775604	0.505646785	-0.150417547	-0.042044716	0.05425118	0.3406	-0.023898303	0.01367051	-0.01736348	-0.090285475	0.215487511	0.057898675	0.0806521	0.05311186	-0.713405	-0.032225969	-0.024871889	0.384666184	-0.239378	0.39166328	-0.257464712	-0.2743895
