NonPAD-AC,PAD-AC,NonPAD-C1,PAD-C1,NonPAD-CIII,PAD-CIII,NonPAD-CIV,PAD_C IV,NonPAD_C V,PAD_C V
0.719633,0.830365,0.901672,0.909102,0.902813,0.941182,0.608699,0.890359,0.923695,0.802752
0.682793,0.822154,0.920986,0.916147,0.920055,0.952973,0.597428,0.742714,0.920024,0.880702
0.808261,0.816732,0.925857,0.885852,0.960323,0.954165,0.880662,0.761995,0.942569,0.892026
0.679698,0.801761,0.939117,0.900093,0.402989,0.515353,0.414301,0.64654,0.8911,0.660872
0.74686,0.786414,0.871884,0.772702,0.525688,0.545744,0.798013,0.644019,0.94207,0.906616
0.704189,0.771699,0.949223,0.810999,0.484103,0.556583,0.890746,0.834314,0.913891,0.794111
0.487275,0.763713,0.924936,0.954031,0.938351,0.950225,0.487565,0.700933,0.971507,0.859838
0.499067,0.763178,0.897835,0.932015,0.912196,0.936692,0.865881,0.790988,0.967621,0.962614
0.455403,0.754879,0.895868,0.919999,0.92487,0.95322,0.727571,0.53136,0.955221,0.916209
0.570468,0.751035,0.892252,0.832054,0.430035,0.419843,0.675618,0.392953,0.923566,0.919635
0.697802,0.750393,0.782204,0.816394,0.76006,0.639874,0.458214,0.664476,0.962476,0.91724
0.767965,0.73657,0.77254,0.840212,0.87576,0.729384,0.8466,0.783615,0.963196,0.911398
0.595233,0.736359,0.676159,0.748044,0.871325,0.725079,0.842874,0.529773,0.948074,0.933693
0.395354,0.731515,0.650149,0.649116,0.420484,0.77332,0.812343,0.470569,0.926929,0.860632
0.376435,0.724826,0.799715,0.839916,0.787569,0.77223,0.73566,0.673959,0.994119,0.978683
0.426942,0.715156,0.943097,0.933802,0.768979,0.713461,0.476428,0.722299,0.952764,0.938389
0.53818,0.712504,0.886931,0.815046,0.678328,0.719045,0.616323,0.611021,0.951502,0.714158
0.37939,0.703846,0.942564,0.831285,0.66038,0.357834,0.516856,0.675683,0.923852,0.830262
0.40784,0.701882,0.943245,0.951073,0.376975,0.660096,0.815537,0.531711,0.886551,0.492367
0.4786,0.701856,0.890717,0.865073,0.72833,0.449313,0.654239,0.457477,0.968696,0.757183
0.591423,0.701542,0.654999,0.70927,0.508732,0.916006,0.476559,0.467156,0.970916,0.833868
0.469207,0.693326,0.909697,0.913144,0.852643,0.875348,0.753387,0.746444,0.953609,0.870452
0.469134,0.692106,0.909531,0.852442,0.918631,0.880684,0.557951,0.812105,0.975394,0.939892
0.711848,0.691732,0.939356,0.852771,0.891379,0.547793,0.619143,0.460039,0.965768,0.8998
0.4189,0.689956,0.906228,0.92463,0.477626,0.847023,,0.369889,0.9238,0.88304
0.490089,0.687342,0.842001,0.8534,0.878697,0.576419,,0.755215,0.980816,0.967894
0.543201,0.672012,0.694104,0.739021,0.771915,0.709605,,0.703616,0.97669,0.963568
0.411976,0.669009,0.956847,0.954615,0.706133,,,0.576278,0.958311,0.781556
0.659808,0.668684,0.815933,0.875881,,,,,0.873116,0.464288
0.728382,0.666616,0.799369,0.763605,,,,,0.967118,0.826434
0.646135,0.661492,0.895782,0.809877,,,,,0.946697,0.713758
0.585677,0.658751,0.88501,0.914316,,,,,0.946059,0.90967
0.396341,0.653587,0.784465,0.807095,,,,,0.935866,0.819127
0.500164,0.65308,0.565754,0.692273,,,,,0.942398,0.736583
0.525543,0.646988,0.833017,0.93981,,,,,0.923314,0.772008
0.45507,0.640763,0.867613,0.910155,,,,,0.949486,0.655112
0.601553,0.636597,0.914478,0.940481,,,,,0.91339,0.864897
0.505786,0.633452,0.839067,0.882634,,,,,0.948503,0.836205
0.714909,0.632608,0.834776,0.924063,,,,,0.946507,0.93538
0.452383,0.623743,0.828845,0.828205,,,,,0.928976,0.913583
0.53159,0.621025,0.916694,0.932517,,,,,0.962808,0.879527
0.789153,0.616398,0.896136,0.847664,,,,,0.976161,0.534648
0.437615,0.608001,0.834849,0.856854,,,,,0.957001,0.887646
0.725483,0.607788,0.824065,0.877023,,,,,0.966364,0.933914
0.383246,0.603786,0.716676,0.811326,,,,,0.965798,
0.651744,0.603772,0.965233,0.945382,,,,,,
0.551249,0.602379,0.876503,0.879558,,,,,,
0.563972,0.600446,0.89864,0.906992,,,,,,
0.414588,0.598274,0.912913,0.863817,,,,,,
0.560254,0.594668,0.943596,0.92021,,,,,,
0.604315,0.593019,0.784752,0.798057,,,,,,
0.457355,0.590279,0.934766,0.926474,,,,,,
0.672262,0.587467,0.874773,0.903083,,,,,,
0.731125,0.58699,0.755301,0.874905,,,,,,
0.468805,0.585928,0.917695,0.903126,,,,,,
0.553854,0.585214,0.704041,0.633399,,,,,,
0.595182,0.583707,0.658591,0.594416,,,,,,
0.428655,0.579548,0.623871,0.581104,,,,,,
0.538499,0.575895,0.57868,0.573711,,,,,,
0.632941,0.575538,0.737807,0.621646,,,,,,
0.490734,0.574293,0.783173,0.552684,,,,,,
0.432676,0.573717,0.642323,0.65414,,,,,,
0.68996,0.572893,0.64175,0.647865,,,,,,
0.641215,0.572392,0.523777,0.632889,,,,,,
0.698841,0.568319,0.802091,0.587841,,,,,,
0.490731,0.566092,0.771118,0.633437,,,,,,
0.421526,0.56442,0.806568,0.763803,,,,,,
0.40734,0.563854,0.790461,0.60502,,,,,,
0.518359,0.562763,0.880673,0.669554,,,,,,
0.423173,0.562502,0.870581,0.842925,,,,,,
0.407904,0.561484,0.762226,0.69467,,,,,,
0.687548,0.560699,0.432836,0.430786,,,,,,
0.816455,0.559744,0.873968,0.881003,,,,,,
0.682944,0.5583,0.843016,0.831321,,,,,,
0.690073,0.555232,0.83533,0.799349,,,,,,
0.608724,0.553225,0.615101,0.645231,,,,,,
0.656207,0.552965,0.744966,0.74593,,,,,,
0.483671,0.542272,0.847481,0.632893,,,,,,
0.44413,0.539268,0.773535,0.784278,,,,,,
0.672509,0.535932,0.784804,0.80868,,,,,,
0.411227,0.533912,0.808924,0.803504,,,,,,
0.450292,0.532219,0.916031,0.614323,,,,,,
0.649084,0.532118,0.803915,0.844734,,,,,,
0.577637,0.531639,0.784454,0.79007,,,,,,
0.582619,0.531422,0.706824,0.664843,,,,,,
0.779428,0.529435,0.616581,0.643689,,,,,,
0.587607,0.526168,0.908477,0.641387,,,,,,
0.631162,0.525081,0.903094,0.786308,,,,,,
0.481875,0.524964,0.783835,0.813396,,,,,,
0.533898,0.522956,0.544227,0.414018,,,,,,
0.44792,0.522726,0.905189,0.437987,,,,,,
0.521843,0.517655,0.860301,0.912627,,,,,,
0.568536,0.517095,0.930558,0.818222,,,,,,
0.745967,0.51708,0.934839,0.933055,,,,,,
0.659547,0.508932,0.872434,0.857958,,,,,,
0.666167,0.505546,0.584591,0.884328,,,,,,
0.770034,0.501808,0.973067,0.635537,,,,,,
0.701463,0.498297,0.909211,0.876143,,,,,,
0.735263,0.498171,0.825731,0.871095,,,,,,
0.55708,0.493271,0.768115,0.830964,,,,,,
0.538196,0.492607,0.888674,0.89246,,,,,,
0.644496,0.490543,0.551149,0.863416,,,,,,
0.520553,0.490106,0.916888,0.598888,,,,,,
0.628596,0.489947,0.739665,0.793969,,,,,,
0.515839,0.486341,0.808015,0.704147,,,,,,
0.620464,0.484289,0.815358,0.766268,,,,,,
0.485201,0.484285,0.850519,0.775288,,,,,,
0.566196,0.482255,0.798182,0.891172,,,,,,
0.73336,0.479264,0.815267,0.614018,,,,,,
0.699656,0.478933,0.502139,0.810768,,,,,,
0.683699,0.476657,0.894094,0.572991,,,,,,
0.57156,0.476535,0.816082,0.643999,,,,,,
0.536958,0.473159,0.740024,0.669796,,,,,,
0.436756,0.472092,0.683072,0.606105,,,,,,
0.452724,0.470936,0.824831,0.767402,,,,,,
0.393382,0.470911,0.599078,0.72512,,,,,,
0.56007,0.47052,0.833222,0.50577,,,,,,
0.536903,0.469536,0.667676,0.558906,,,,,,
0.593586,0.466323,0.928971,0.657076,,,,,,
0.456707,0.463287,0.8181,0.86726,,,,,,
0.51632,0.462295,0.86584,0.405869,,,,,,
0.706731,0.462234,0.787882,0.629036,,,,,,
0.609197,0.456599,0.767487,0.572944,,,,,,
0.591609,0.45384,0.905741,0.527037,,,,,,
0.755368,0.452395,0.817098,0.515899,,,,,,
0.59284,0.446465,0.745209,0.499905,,,,,,
0.633517,0.444398,0.72355,0.404159,,,,,,
0.622445,0.444241,0.672116,0.548579,,,,,,
0.381852,0.444188,0.8834,0.402361,,,,,,
0.374309,0.442622,0.846813,0.672311,,,,,,
0.473604,0.441993,0.746026,0.770034,,,,,,
0.570216,0.440198,0.570698,0.823057,,,,,,
0.558571,0.43618,0.851234,0.836216,,,,,,
0.570928,0.435854,0.713284,0.529461,,,,,,
0.669368,0.433804,0.701461,0.802853,,,,,,
0.646872,0.431438,0.775603,0.766297,,,,,,
0.596829,0.430969,0.813639,0.590888,,,,,,
0.674769,-0.43086,0.738693,0.597092,,,,,,
0.468423,0.428116,0.681526,0.552377,,,,,,
0.551315,0.427435,0.800195,0.817784,,,,,,
0.41906,0.427241,0.738434,0.746259,,,,,,
0.535508,0.424965,0.73787,0.380368,,,,,,
0.431736,0.424227,0.744653,0.819684,,,,,,
0.658434,0.422496,0.607926,0.736941,,,,,,
0.530054,0.416372,0.802973,0.811635,,,,,,
0.612311,0.415307,0.816215,0.697378,,,,,,
0.575405,0.412303,0.771453,0.800665,,,,,,
0.395721,0.40493,0.500661,0.750439,,,,,,
0.467436,0.404326,0.75699,0.853849,,,,,,
0.487979,-0.4027,0.68268,0.685971,,,,,,
0.6718,0.402031,0.713949,0.820635,,,,,,
0.506613,0.400898,0.788549,0.762292,,,,,,
0.61838,0.397687,0.813072,0.663178,,,,,,
0.580318,0.395794,0.809753,0.678607,,,,,,
0.400517,0.394942,0.740422,0.692275,,,,,,
0.586511,0.393316,0.695981,0.868237,,,,,,
0.460441,0.391214,0.779952,0.740639,,,,,,
0.568658,0.386015,0.692396,0.370452,,,,,,
0.402546,0.386011,0.815825,0.429224,,,,,,
0.462986,0.385832,0.772036,0.762394,,,,,,
0.409224,0.385603,0.535626,0.824358,,,,,,
0.590492,0.376086,0.781504,0.779115,,,,,,
0.569604,0.374147,0.826074,0.509161,,,,,,
0.61421,0.368744,0.610393,0.841449,,,,,,
0.738284,0.367541,0.627377,0.925192,,,,,,
0.670417,0.366238,0.719047,0.887441,,,,,,
0.655157,0.364888,0.749756,0.911644,,,,,,
0.418072,0.358874,0.734556,0.881116,,,,,,
0.685117,0.358774,0.738753,0.915146,,,,,,
0.657358,0.358601,0.740513,0.766231,,,,,,
0.649801,0.357832,0.913933,0.892542,,,,,,
0.501803,,0.903697,0.909874,,,,,,
0.452888,,0.928539,0.852857,,,,,,
0.452123,,0.909166,0.87774,,,,,,
0.41876,,0.858747,0.907595,,,,,,
0.555502,,0.654471,0.644166,,,,,,
0.592694,,0.938068,0.803714,,,,,,
0.488524,,0.91362,0.744455,,,,,,
0.669129,,0.825688,0.884126,,,,,,
0.510316,,0.768381,0.797673,,,,,,
0.614239,,0.874766,0.42786,,,,,,
0.458145,,0.540201,0.727416,,,,,,
0.490862,,0.93677,0.769348,,,,,,
0.434822,,0.695795,0.807303,,,,,,
0.463129,,0.938031,0.783767,,,,,,
0.59012,,0.855484,0.855833,,,,,,
0.528769,,0.704066,0.76172,,,,,,
0.470488,,0.656459,0.777254,,,,,,
0.398766,,0.768364,0.694359,,,,,,
0.579052,,0.780398,0.768399,,,,,,
0.544496,,0.700803,0.769543,,,,,,
0.503225,,0.759781,0.780694,,,,,,
0.619033,,0.760434,0.802933,,,,,,
0.485152,,0.610284,0.77258,,,,,,
0.441471,,0.527547,0.447415,,,,,,
0.574063,,0.806887,0.567708,,,,,,
0.445359,,0.816781,0.759939,,,,,,
0.645273,,0.712254,0.821673,,,,,,
0.430021,,0.652284,0.722334,,,,,,
0.59906,,0.755884,0.383195,,,,,,
0.480068,,0.50727,0.804681,,,,,,
0.594326,,0.660646,0.790483,,,,,,
0.500928,,0.529555,0.804224,,,,,,
0.423534,,0.723451,0.613065,,,,,,
0.477566,,0.632038,0.679016,,,,,,
-0.40992,,0.510314,0.823459,,,,,,
0.465496,,0.717134,0.488513,,,,,,
0.653771,,0.679659,0.695187,,,,,,
0.535394,,0.747999,0.538563,,,,,,
0.418964,,0.815629,0.483137,,,,,,
0.403229,,0.811975,0.5713,,,,,,
0.634611,,0.84897,0.465943,,,,,,
0.413311,,0.815458,0.664948,,,,,,
0.445847,,0.755184,0.608466,,,,,,
0.486584,,0.528579,0.396598,,,,,,
0.470144,,0.914495,0.62749,,,,,,
0.573437,,0.88995,0.726481,,,,,,
0.674106,,0.731241,0.907972,,,,,,
0.617687,,0.67028,0.732383,,,,,,
0.797188,,0.786313,0.767731,,,,,,
0.543275,,0.484806,0.726836,,,,,,
0.599319,,0.878215,0.722449,,,,,,
0.509079,,0.563357,0.691804,,,,,,
0.393822,,0.925243,0.959341,,,,,,
0.469865,,0.862145,0.857898,,,,,,
0.52959,,0.58578,0.907902,,,,,,
0.666348,,0.650099,0.928657,,,,,,
0.503762,,0.723457,0.909159,,,,,,
0.762842,,0.917852,0.730906,,,,,,
0.482006,,0.751806,0.976755,,,,,,
0.58468,,0.962836,0.942955,,,,,,
0.416349,,0.917554,0.93354,,,,,,
0.484509,,0.975486,0.907523,,,,,,
0.395379,,0.968283,0.942983,,,,,,
0.626483,,0.911749,0.62672,,,,,,
0.704711,,0.726277,0.841678,,,,,,
0.659907,,0.969233,0.738967,,,,,,
0.74423,,0.943598,0.92196,,,,,,
0.637228,,0.871596,0.741184,,,,,,
0.47486,,0.86973,0.680544,,,,,,
0.518127,,0.941824,0.746438,,,,,,
0.52374,,0.645403,0.908483,,,,,,
0.429003,,0.865458,0.80731,,,,,,
0.520374,,0.816159,0.581353,,,,,,
0.49978,,0.951768,0.927942,,,,,,
0.527312,,0.841776,0.822889,,,,,,
0.623582,,0.787666,0.843235,,,,,,
0.548912,,0.735471,0.964822,,,,,,
0.552893,,0.782135,0.859218,,,,,,
0.527143,,0.938925,0.708461,,,,,,
0.648073,,0.781897,0.97858,,,,,,
0.475759,,0.863821,0.964354,,,,,,
0.43534,,0.93717,0.93739,,,,,,
0.65051,,0.921321,0.87377,,,,,,
0.548309,,0.961343,0.914478,,,,,,
0.466539,,0.95062,0.619236,,,,,,
0.730012,,0.898376,0.835185,,,,,,
0.502637,,0.705801,0.670531,,,,,,
-0.60961,,0.960608,0.867488,,,,,,
0.384367,,0.936755,0.632429,,,,,,
0.654577,,0.876613,0.57445,,,,,,
