prot1	prot2	r	p	padj
ACAD9	NDUFAB1	0.654577226830128	0.000157407784358095	0.00034555199998138
ACAD9	ATP5PB	0.736837806308281	7.77014420818936e-06	2.36774004208481e-05
ACAD9	ATP5PD	0.733301056458626	9.03936473742598e-06	2.70088938328996e-05
ACAD9	ATP5ME	0.744636295662107	5.51875309721264e-06	1.74251693537523e-05
ACAD9	ATP5MG	0.695333101393973	4.00700004880495e-05	0.000102113132325585
ACAD9	ATP5F1A	0.73929929168344	6.98373232195417e-06	2.15464839205405e-05
ACAD9	ATP5F1B	0.760706492525326	2.62066255984248e-06	9.04433311350289e-06
ACAD9	ATP5F1D	0.797351182016094	3.78468462542206e-07	1.61392873107079e-06
ACAD9	ATPAF1	0.719632804383404	1.58788185397858e-05	4.45447385879813e-05
ACAD9	ATPAF2	0.682792548632356	6.24490456067987e-05	0.000152676085140839
ACAD9	ATP5F1C	0.776311883944765	1.20123688058449e-06	4.48273813274279e-06
ACAD9	ATP5MF	0.770606946019803	1.60882961470732e-06	5.83266241423207e-06
ACAD9	ATP5PO	0.796508003747134	3.97406510729228e-07	1.68500360549193e-06
ACAD9	BCS1L	0.679698120697904	6.94478523130638e-05	0.000166674845551353
ACAD9	SDHC	0.689306140508411	0.058592810579917	0.0699718864543429
ACAD9	NDUFAF1	0.496467238977382	0.0159666913025061	0.0210993498601238
ACAD9	COA3	0.5704676423046	0.00152568981021554	0.00261546824608378
ACAD9	COA5	0.598074444756484	0.023873173633952	0.0304101198908024
ACAD9	COA6	0.533274155792898	0.0605600592954378	0.0721277110709709
ACAD9	COA7	0.744382894991912	4.64151462495935e-05	0.000116417031607431
ACAD9	MT-CO1	0.588940888769995	0.000976627007787968	0.00175532637814777
ACAD9	COX11	0.659807867805985	0.000133572830999257	0.000298377442854336
ACAD9	COX17	0.0124985597939882	0.966174815311764	0.967914103908185
ACAD9	COX19	0.849178875675038	0.00377306222865308	0.00585284774981307
ACAD9	MT-CO2	0.788678263592235	6.18839732882375e-07	2.50542864040121e-06
ACAD9	COX20	0.468083589165492	0.0914143104790164	0.106287936864085
