prot1	prot2	r
ACAD9	NDUFAB1	0.654577226830128
ACAD9	ATP5PB	0.736837806308281
ACAD9	ATP5PD	0.733301056458626
ACAD9	ATP5ME	0.744636295662107
ACAD9	ATP5MG	0.695333101393973
ACAD9	ATP5F1A	0.73929929168344
ACAD9	ATP5F1B	0.760706492525326
ACAD9	ATP5F1D	0.797351182016094
ACAD9	ATPAF1	0.719632804383404
ACAD9	ATPAF2	0.682792548632356
ACAD9	ATP5F1C	0.776311883944765
ACAD9	ATP5MF	0.770606946019803
ACAD9	ATP5PO	0.796508003747134
ACAD9	BCS1L	0.679698120697904
ACAD9	NDUFAF1	0.496467238977382
ACAD9	COA3	0.5704676423046
ACAD9	COA5	0.598074444756484
ACAD9	COA7	0.744382894991912
ACAD9	MT-CO1	0.588940888769995
ACAD9	COX11	0.659807867805985
ACAD9	COX19	0.849178875675038
ACAD9	MT-CO2	0.788678263592235
ACAD9	COX4I1	0.675585081791321
ACAD9	COX6C	0.651136242404024
ACAD9	COX7C	0.631298326954056
ACAD9	COX7A2L	0.725295177765622
ACAD9	COX7A1	0.716147496638406
ACAD9	CYC1	0.738951555237234
ACAD9	ECSIT	0.672261928496495
ACAD9	FOXRED1	0.43284035678183
ACAD9	NDUFA2	0.687307669494688
ACAD9	NDUFA3	0.695952111208364
ACAD9	NDUFA5	0.780920574098957
ACAD9	NDUFA6	0.676302685144169
ACAD9	NDUFA7	0.690784605806379
ACAD9	NDUFA8	0.479275956562867
ACAD9	NDUFA9	0.768623535992543
ACAD9	NDUFA10	0.732892976515277
ACAD9	NDUFA11	0.660001799643269
ACAD9	NDUFA12	0.641174974049747
ACAD9	NDUFA13	0.725939271746133
ACAD9	NDUFB1	0.658510660029309
ACAD9	NDUFB3	0.685969234739858
ACAD9	NDUFB4	0.613409337708289
ACAD9	NDUFB5	0.751994496013944
ACAD9	NDUFB6	0.790357437474031
ACAD9	NDUFB7	0.582216928639861
ACAD9	NDUFB8	0.545547425091189
ACAD9	NDUFB9	0.592638640445604
ACAD9	NDUFB10	0.710139424054618
ACAD9	NDUFB11	0.56956005907945
ACAD9	NDUFC2	0.686036146019165
ACAD9	NDUFAF4	0.687548309237821
ACAD9	NDUFAF5	0.616639595350296
ACAD9	NDUFAF6	0.666166537389847
