prot1	prot2	r	p	padj
ACAD9	NDUFAB1	0.517095315746912	0.00289445239381768	0.00553311882358198
ACAD9	ATP5PB	0.327988925332638	0.0716522538919831	0.0988366847625173
ACAD9	ATP5PD	0.572282418948714	0.000768400032552054	0.00172558310220866
ACAD9	ATP5ME	0.500598367933263	0.00412847666479246	0.00766741157818657
ACAD9	ATP5MG	0.734198530704649	2.58765698205129e-06	1.11649427320355e-05
ACAD9	ATP5F1A	0.610163806972953	0.00026778209229032	0.000678321693993064
ACAD9	ATP5F1B	0.555806246667234	0.00116941124693567	0.0024828171623373
ACAD9	ATP5F1D	0.178074056048405	0.337850889950149	0.391222907924975
ACAD9	ATPAF1	0.830365169123745	7.52290334276601e-09	7.00291534075069e-08
ACAD9	ATPAF2	0.653586911511314	6.69605716492654e-05	0.000199610034150266
ACAD9	ATP5F1C	0.57292392525456	0.000755600882583125	0.00169935534462371
ACAD9	ATP5MF	0.803463923059155	5.28572674603129e-08	3.73032994541619e-07
ACAD9	ATP5PO	0.769512284625162	4.20588782130099e-07	2.27107963968708e-06
ACAD9	BCS1L	0.587466610787191	0.000511487249784169	0.0012126510213633
ACAD9	SDHC	0.792249288584309	0.00364681359305955	0.00683420974705931
ACAD9	NDUFAF1	0.776080923588028	3.17396330029766e-06	1.33283034529105e-05
ACAD9	COA1	-0.297912176305344	0.626374391548071	0.670095471287149
ACAD9	COA3	0.433804246867735	0.0147630971716941	0.0239748905906356
ACAD9	COA5	0.77594358558392	0.000672718753895299	0.00154112519765043
ACAD9	COA6	-0.0663430138282471	0.807142736754588	0.835128539976917
ACAD9	COA7	0.50353182006656	0.00873141802936219	0.0149082576405314
ACAD9	MT-CO1	0.667481634491307	4.09948765882704e-05	0.00012958935988181
ACAD9	COX11	0.367540817814708	0.0419408588658283	0.061387392140595
ACAD9	COX17	0.404418316534459	0.134871023160965	0.173568791750134
ACAD9	COX19	0.596514966329769	0.0527243928180683	0.0753536691076442
ACAD9	MT-CO2	0.684362447196173	2.1803872508687e-05	7.42342764843255e-05
ACAD9	COX20	0.251337742961112	0.366204313426737	0.420207218230024
ACAD9	COX4I1	0.410084419481706	0.0219490869883045	0.0342399739447437
ACAD9	COX6C	0.310533571870297	0.0890836092181251	0.119937470914199
ACAD9	COX7C	0.600386856092746	0.00035598470610095	0.000871674223868491
ACAD9	COX7A2L	0.677617518932312	2.81970218574994e-05	9.38938138224852e-05
ACAD9	COX6B1	0.337577048333116	0.0632751354481933	0.0885423967292271
ACAD9	COX7A1	0.67424521072822	3.19865629706374e-05	0.000104976809403274
ACAD9	CYC1	0.632346842250507	0.000135401963192295	0.000369292831906127
ACAD9	ECSIT	0.602378787018897	0.000336173951750607	0.000828513171829325
ACAD9	FOXRED1	0.531564680264715	0.00519599008348357	0.00938577256349889
ACAD9	NDUFA2	0.382483571481284	0.0337066296109324	0.0503552930715341
ACAD9	NDUFA3	0.285442270839105	0.11957722250634	0.156098513578681
ACAD9	NDUFA5	0.242910439315342	0.187934915703613	0.232593729277555
ACAD9	NDUFA6	0.577764369392527	0.000664913856653812	0.00152631763766422
ACAD9	NDUFA7	0.318574394682832	0.0806908403371747	0.109806271589077
ACAD9	NDUFA8	0.199181298703082	0.282719215582272	0.333814962364585
ACAD9	NDUFA9	0.580039253699139	0.000625706369167987	0.00145021150328548
ACAD9	NDUFA10	0.59403550365067	0.000426226006869928	0.00103036685250765
ACAD9	NDUFA11	0.521754860546479	0.00260980693194714	0.00503596488097642
ACAD9	NDUFA12	0.34537295880081	0.0570459610720982	0.0808698893803148
ACAD9	NDUFA13	0.363072228892494	0.0446939467319675	0.0650821642750851
