prot1	prot2	r
ACAD9	NDUFAB1	0.517095315746912
ACAD9	ATP5PD	0.572282418948714
ACAD9	ATP5ME	0.500598367933263
ACAD9	ATP5MG	0.734198530704649
ACAD9	ATP5F1A	0.610163806972953
ACAD9	ATP5F1B	0.555806246667234
ACAD9	ATPAF1	0.830365169123745
ACAD9	ATPAF2	0.653586911511314
ACAD9	ATP5F1C	0.57292392525456
ACAD9	ATP5MF	0.803463923059155
ACAD9	ATP5PO	0.769512284625162
ACAD9	BCS1L	0.587466610787191
ACAD9	SDHC	0.792249288584309
ACAD9	NDUFAF1	0.776080923588028
ACAD9	COA3	0.433804246867735
ACAD9	COA5	0.77594358558392
ACAD9	COA7	0.50353182006656
ACAD9	MT-CO1	0.667481634491307
ACAD9	MT-CO2	0.684362447196173
ACAD9	COX4I1	0.410084419481706
ACAD9	COX7C	0.600386856092746
ACAD9	COX7A2L	0.677617518932312
ACAD9	COX7A1	0.67424521072822
ACAD9	CYC1	0.632346842250507
ACAD9	ECSIT	0.602378787018897
ACAD9	FOXRED1	0.531564680264715
ACAD9	NDUFA6	0.577764369392527
ACAD9	NDUFA9	0.580039253699139
ACAD9	NDUFA10	0.59403550365067
ACAD9	NDUFA11	0.521754860546479
ACAD9	NDUFB1	0.496608664683615
ACAD9	NDUFB3	0.672634464589466
ACAD9	NDUFB5	0.405885590213705
ACAD9	NDUFB10	0.431091050804425
ACAD9	NDUFAF4	0.585927533256461
ACAD9	NDUFAF5	0.747833636728245
ACAD9	NDUFAF6	0.560699417753285
ACAD9	NDUFAF7	0.52943461600274
ACAD9	NDUFS1	0.476285717274643
ACAD9	NDUFS2	0.58852093156085
ACAD9	NDUFS3	0.465892048368656
ACAD9	NDUFS5	0.456631743164145
ACAD9	NDUFV1	0.551788499176072
ACAD9	NDUFV2	0.43348883167255
ACAD9	MT-ND1	0.530093109507011
ACAD9	MT-ND4	0.597858707249437
ACAD9	MT-ND5	0.544471467667808
ACAD9	UQCRC1	0.569783171321074
ACAD9	UQCRC2	0.578490806186989
ACAD9	UQCRH	0.689941192809155
ACAD9	UQCRB	0.491726381546148
ACAD9	UQCR10	0.465413347869977
ACAD9	SDHB	0.649081107792116
ACAD9	TIMMDC1	0.647035263882088
ACAD9	UQCRFS1	0.652987791108577
ACAD9	UQCC1	0.590278927639313
ACAD9	UQCC3	0.959612390302449
NDUFAB1	ATP5PB	0.430807738296422
NDUFAB1	ATP5PD	0.652788608549079
NDUFAB1	ATP5ME	0.604497835318311
NDUFAB1	ATP5MG	0.574557413144424
NDUFAB1	ATP5F1A	0.617662900750881
NDUFAB1	ATP5F1B	0.588777382773
NDUFAB1	ATP5F1D	0.462212608135891
NDUFAB1	ATPAF1	0.658750933826213
NDUFAB1	ATPAF2	0.539267666203656
NDUFAB1	ATP5F1C	0.656077901793161
NDUFAB1	ATP5MF	0.69384517167311
NDUFAB1	ATP5PO	0.681080432040499
NDUFAB1	BCS1L	0.412302798351807
NDUFAB1	SDHC	0.756952518480637
NDUFAB1	NDUFAF1	0.719708050232634
NDUFAB1	COA5	0.637620092508033
NDUFAB1	MT-CO1	0.66867820074675
NDUFAB1	COX11	0.7315154721265
NDUFAB1	COX19	0.700717324446249
NDUFAB1	MT-CO2	0.73171586042097
NDUFAB1	COX4I1	0.5148963882219
NDUFAB1	COX7C	0.56118478027509
NDUFAB1	COX7A2L	0.553860972642849
NDUFAB1	COX6B1	0.587480934687522
NDUFAB1	COX7A1	0.769987505256157
NDUFAB1	CYC1	0.664645812707433
NDUFAB1	ECSIT	0.472092245176155
NDUFAB1	FOXRED1	0.536076561819495
NDUFAB1	NDUFA2	0.485702384354911
NDUFAB1	NDUFA5	0.497405220643395
NDUFAB1	NDUFA6	0.61726667542454
NDUFAB1	NDUFA7	0.407549729846652
NDUFAB1	NDUFA9	0.614217547348363
NDUFAB1	NDUFA10	0.602011214900788
NDUFAB1	NDUFA11	0.612631380684884
NDUFAB1	NDUFA12	0.405622528143652
NDUFAB1	NDUFA13	0.407238220515799
NDUFAB1	NDUFB1	0.450473704965726
NDUFAB1	NDUFB3	0.746356744951202
NDUFAB1	NDUFB5	0.639920809335357
NDUFAB1	NDUFB6	0.458334897221399
NDUFAB1	NDUFB10	0.529887835773876
NDUFAB1	NDUFB11	0.53869880212688
NDUFAB1	NDUFAF4	0.691732371834656
NDUFAB1	NDUFAF5	0.491680996842968
NDUFAB1	NDUFAF6	0.736359478844107
NDUFAB1	NDUFAF7	0.395794284418165
NDUFAB1	NDUFS1	0.601424189544076
NDUFAB1	NDUFS2	0.604162732716053
NDUFAB1	NDUFS3	0.551231662378134
NDUFAB1	NDUFS4	0.546764129534028
NDUFAB1	NDUFS5	0.498463941176261
NDUFAB1	NDUFS7	0.408790091473224
NDUFAB1	NDUFS8	0.383628040096059
NDUFAB1	NDUFV1	0.5828728670081
NDUFAB1	NDUFV2	0.450671749023783
NDUFAB1	MT-ND1	0.818797962370798
NDUFAB1	MT-ND4	0.56571033503238
NDUFAB1	MT-ND5	0.712599454359609
NDUFAB1	UQCRC1	0.591831726549896
NDUFAB1	UQCRC2	0.566257436522862
NDUFAB1	UQCRH	0.425448644497624
NDUFAB1	UQCRB	0.618888103478688
NDUFAB1	UQCR10	0.582176905863301
NDUFAB1	SDHB	0.439308785005193
NDUFAB1	SDHAF2	0.609743792535675
NDUFAB1	TIMMDC1	0.591180294247693
NDUFAB1	UQCRFS1	0.546498452786582
NDUFAB1	UQCC1	0.71515605964824
NDUFAB1	UQCC2	0.522955536635959
ATP5PB	ATP5PD	0.802751649106903
ATP5PB	ATP5ME	0.880702281914235
ATP5PB	ATP5MG	0.660871642839398
ATP5PB	ATP5F1A	0.859837674996639
ATP5PB	ATP5F1B	0.917240431150959
ATP5PB	ATP5F1D	0.938388746755258
ATP5PB	ATPAF1	0.477647896070664
ATP5PB	ATPAF2	0.602610300273
ATP5PB	ATP5F1C	0.870452153754477
ATP5PB	ATP5MF	0.46428793898601
ATP5PB	ATP5PO	0.655111803035887
ATP5PB	COA3	0.472194832174045
ATP5PB	MT-CO1	0.552637629069553
