prot	class	dna
ACAD9	Assembly Complex	nDNA
NDUFAB1	Complex I	nDNA
ATP5PB	Complex V	nDNA
ATP5PD	Complex V	nDNA
ATP5ME	Complex V	nDNA
ATP5MG	Complex V	nDNA
ATP5F1A	Complex V	nDNA
ATP5F1B	Complex V	nDNA
ATP5F1D	Complex V	nDNA
ATPAF1	Assembly Complex	nDNA
ATPAF2	Assembly Complex	nDNA
ATP5F1C	Complex V	nDNA
ATP5MF	Complex V	nDNA
ATP5PO	Complex V	nDNA
BCS1L	Assembly Complex	nDNA
SDHC	Complex II	nDNA
NDUFAF1	Assembly Complex	nDNA
COA1	Assembly Complex	nDNA
COA3	Assembly Complex	nDNA
COA5	Assembly Complex	nDNA
COA6	Assembly Complex	nDNA
COA7	Assembly Complex	nDNA
MT-CO1	Complex IV	mtDNA
COX11	Assembly Complex	nDNA
COX17	Assembly Complex	nDNA
COX19	Assembly Complex	nDNA
MT-CO2	Complex IV	mtDNA
COX20	Assembly Complex	nDNA
COX4I1	Complex IV	nDNA
COX6C	Complex IV	nDNA
COX7C	Complex IV	nDNA
COX7A2L	Complex IV	nDNA
COX6B1	Complex IV	nDNA
COX7A1	Complex IV	nDNA
CYC1	Complex III	nDNA
ECSIT	Assembly Complex	nDNA
FOXRED1	Assembly Complex	nDNA
NDUFA2	Complex I	nDNA
NDUFA3	Complex I	nDNA
NDUFA5	Complex I	nDNA
NDUFA6	Complex I	nDNA
NDUFA7	Complex I	nDNA
NDUFA8	Complex I	nDNA
NDUFA9	Complex I	nDNA
NDUFA10	Complex I	nDNA
NDUFA11	Complex I	nDNA
NDUFA12	Complex I	nDNA
NDUFA13	Complex I	nDNA
NDUFB1	Complex I	nDNA
NDUFB3	Complex I	nDNA
NDUFB4	Complex I	nDNA
NDUFB5	Complex I	nDNA
NDUFB6	Complex I	nDNA
NDUFB7	Complex I	nDNA
NDUFB8	Complex I	nDNA
NDUFB9	Complex I	nDNA
NDUFB10	Complex I	nDNA
NDUFB11	Complex I	nDNA
NDUFC2	Complex I	nDNA
NDUFAF3	Assembly Complex	nDNA
NDUFAF4	Assembly Complex	nDNA
NDUFAF5	Assembly Complex	nDNA
NDUFAF6	Assembly Complex	nDNA
NDUFAF7	Assembly Complex	nDNA
NDUFS1	Complex I	nDNA
NDUFS2	Complex I	nDNA
NDUFS3	Complex I	nDNA
NDUFS4	Complex I	nDNA
NDUFS5	Complex I	nDNA
NDUFS6	Complex I	nDNA
NDUFS7	Complex I	nDNA
NDUFS8	Complex I	nDNA
NDUFV1	Complex I	nDNA
NDUFV2	Complex I	nDNA
NDUFV3	Complex I	nDNA
MT-ND1	Complex I	mtDNA
MT-ND4	Complex I	mtDNA
MT-ND5	Complex I	mtDNA
NUBPL	Assembly Complex	nDNA
UQCRC1	Complex III	nDNA
UQCRC2	Complex III	nDNA
UQCRH	Complex III	nDNA
UQCRB	Complex III	nDNA
UQCRQ	Complex III	nDNA
UQCR10	Complex III	nDNA
SCO1	Assembly Complex	nDNA
SCO2	Assembly Complex	nDNA
SDHA	Complex II	nDNA
SDHB	Complex II	nDNA
SDHAF2	Assembly Complex	nDNA
SURF1	Assembly Complex	nDNA
TIMMDC1	Assembly Complex	nDNA
UQCRFS1	Complex III	nDNA
UQCC1	Assembly Complex	nDNA
UQCC2	Assembly Complex	nDNA
UQCC3	Assembly Complex	nDNA
