ENSG	ENSG.ver	name	type	description	logFC	P.Value	-log10(P.Val)	adj.P.Val
ENSG00000198858	ENSG00000198858.9	R3HDM4	protein_coding	R3H domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28270]	0.324	3.91e-10	9.41	8.57e-06
ENSG00000184602	ENSG00000184602.5	SNN	protein_coding	stannin [Source:HGNC Symbol;Acc:HGNC:11149]	0.53	4.7e-08	7.33	0.000516
ENSG00000006327	ENSG00000006327.13	TNFRSF12A	protein_coding	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	1.26	9.68e-08	7.01	0.000707
ENSG00000196458	ENSG00000196458.10	ZNF605	protein_coding	zinc finger protein 605 [Source:HGNC Symbol;Acc:HGNC:28068]	-0.345	2.38e-07	6.62	0.00131
ENSG00000131759	ENSG00000131759.17	RARA	protein_coding	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	0.411	3.67e-07	6.44	0.00149
ENSG00000197054	ENSG00000197054.11	ZNF763	protein_coding	zinc finger protein 763 [Source:HGNC Symbol;Acc:HGNC:27614]	-0.625	4.09e-07	6.39	0.00149
ENSG00000243175	ENSG00000243175.1	RP11-58H15.1	transcribed_processed_pseudogene	ribosomal protein SA pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:35727]	-0.711	9.02e-07	6.04	0.00282
ENSG00000101665	ENSG00000101665.8	SMAD7	protein_coding	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	0.507	1.41e-06	5.85	0.00325
ENSG00000205765	ENSG00000205765.8	C5orf51	protein_coding	chromosome 5 open reading frame 51 [Source:HGNC Symbol;Acc:HGNC:27750]	-0.366	1.45e-06	5.84	0.00325
ENSG00000163644	ENSG00000163644.14	PPM1K	protein_coding	protein phosphatase, Mg2+/Mn2+ dependent 1K [Source:HGNC Symbol;Acc:HGNC:25415]	-0.653	1.56e-06	5.81	0.00325
ENSG00000224614	ENSG00000224614.1	AC124944.2	lncRNA	TNK2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49093]	1.04	1.76e-06	5.75	0.00325
ENSG00000149489	ENSG00000149489.8	ROM1	protein_coding	retinal outer segment membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10254]	0.472	1.78e-06	5.75	0.00325
ENSG00000232445	ENSG00000232445.1	RP11-132A1.4	lncRNA	E2F1 mRNA stabilizing lncRNA [Source:HGNC Symbol;Acc:HGNC:54408]	2	2.11e-06	5.68	0.00334
ENSG00000149300	ENSG00000149300.9	C11orf52	protein_coding	chromosome 11 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:30531]	0.675	2.13e-06	5.67	0.00334
ENSG00000127507	ENSG00000127507.17	ADGRE2	protein_coding	adhesion G protein-coupled receptor E2 [Source:HGNC Symbol;Acc:HGNC:3337]	0.679	2.82e-06	5.55	0.00378
ENSG00000110367	ENSG00000110367.11	DDX6	protein_coding	DEAD-box helicase 6 [Source:HGNC Symbol;Acc:HGNC:2747]	-0.179	2.88e-06	5.54	0.00378
ENSG00000162944	ENSG00000162944.10	RFTN2	protein_coding	raftlin family member 2 [Source:HGNC Symbol;Acc:HGNC:26402]	-0.365	3.02e-06	5.52	0.00378
ENSG00000102984	ENSG00000102984.14	ZNF821	protein_coding	zinc finger protein 821 [Source:HGNC Symbol;Acc:HGNC:28043]	0.35	3.1e-06	5.51	0.00378
ENSG00000159714	ENSG00000159714.10	ZDHHC1	protein_coding	zinc finger DHHC-type containing 1 [Source:HGNC Symbol;Acc:HGNC:17916]	0.347	3.45e-06	5.46	0.00398
ENSG00000137274	ENSG00000137274.12	BPHL	protein_coding	biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]	-0.321	3.64e-06	5.44	0.00399
ENSG00000260992	ENSG00000260992.1	RP11-122A8.4	lncRNA	DOCK9 divergent transcript [Source:HGNC Symbol;Acc:HGNC:43696]	0.636	3.97e-06	5.4	0.00414
ENSG00000140465	ENSG00000140465.13	CYP1A1	protein_coding	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	4.07	4.16e-06	5.38	0.00414
ENSG00000108840	ENSG00000108840.15	HDAC5	protein_coding	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]	0.269	4.34e-06	5.36	0.00414
ENSG00000135018	ENSG00000135018.13	UBQLN1	protein_coding	ubiquilin 1 [Source:HGNC Symbol;Acc:HGNC:12508]	0.156	4.62e-06	5.34	0.00415
ENSG00000075651	ENSG00000075651.15	PLD1	protein_coding	phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]	-0.298	4.75e-06	5.32	0.00415
ENSG00000242110	ENSG00000242110.7	AMACR	protein_coding	alpha-methylacyl-CoA racemase [Source:HGNC Symbol;Acc:HGNC:451]	-0.635	5.06e-06	5.3	0.00415
ENSG00000233930	ENSG00000233930.3	RP13-25N22.1	lncRNA	KRTAP5-1/KRTAP5-2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27877]	0.917	5.11e-06	5.29	0.00415
ENSG00000108469	ENSG00000108469.14	RECQL5	protein_coding	RecQ like helicase 5 [Source:HGNC Symbol;Acc:HGNC:9950]	-0.229	5.52e-06	5.26	0.00432
ENSG00000272899	ENSG00000272899.3	RP11-309L24.4	protein_coding	ATP6V1F neighbor [Source:HGNC Symbol;Acc:HGNC:52392]	1.26	6.03e-06	5.22	0.00455
ENSG00000172296	ENSG00000172296.12	SPTLC3	protein_coding	serine palmitoyltransferase long chain base subunit 3 [Source:HGNC Symbol;Acc:HGNC:16253]	-0.399	6.31e-06	5.2	0.00461
ENSG00000131652	ENSG00000131652.13	THOC6	protein_coding	THO complex 6 [Source:HGNC Symbol;Acc:HGNC:28369]	0.378	7.87e-06	5.1	0.00543
