Protein	Entry	Protein description	Gene.names	Gene	Mitochondrion	Annotation (general)	AgingAnnotation (elife paper)	ENSG	name	type	description	r_CTR_lower	r_CTR	r_CTR_upper	r_PAD_lower	r_PAD	r_PAD_upper	diff	r_CTR_pval	r_PAD_pval
HDAC6_HUMAN	Q9UBN7	Histone deacetylase 6 (HD6) (EC 3.5.1.98) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-)	HDAC6 KIAA0901 JM21	HDAC6	FALSE	Autophagy	Epigenetic Alterations	ENSG00000094631	HDAC6	protein_coding	histone deacetylase 6 [Source:HGNC Symbol;Acc:HGNC:14064]	-0.531053338848085	-0.101271745069055	0.369954938371408	-0.32074350134915	0.141920921133147	0.549905981557899	0	0.679952278430744	0.550603295182355
SPT6H_HUMAN	Q7KZ85	Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein) (Tat-CT2 protein)	SUPT6H KIAA0162 SPT6H	SUPT6H	FALSE	Chaperons	Epigenetic Alterations	ENSG00000109111	SUPT6H	protein_coding	SPT6 homolog, histone chaperone and transcription elongation factor [Source:HGNC Symbol;Acc:HGNC:11470]	-0.600694049129351	-0.102915291485376	0.45236551419645	-0.437965441234528	0.0957877013184666	0.579609965101009	0	0.726260977848407	0.7341714537544
ANM1_HUMAN	Q99873	Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT1) (Interferon receptor 1-bound protein 4)	PRMT1 HMT2 HRMT1L2 IR1B4	PRMT1	FALSE	Histone	Epigenetic Alterations	ENSG00000126457	PRMT1	protein_coding	protein arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5187]	-0.381730091047922	-0.0100901476990746	0.364358372039639	-0.526409929481658	-0.211525218959076	0.154386454624936	0	0.959358237122581	0.253325741238185
H10_HUMAN	P07305	Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]	H1-0 H1F0 H1FV	H1-0	FALSE	Histone	Epigenetic Alterations	ENSG00000189060	H1F0	protein_coding	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	-0.400845037706265	-0.0326509255775457	0.344623973457941	-0.2785097329079	0.084133260542812	0.425780113263052	0	0.868991961980324	0.652722330056931
H15_HUMAN	P16401	Histone H1.5 (Histone H1a) (Histone H1b) (Histone H1s-3)	H1-5 H1F5 HIST1H1B	H1-5	FALSE	Histone	Epigenetic Alterations	ENSG00000184357	HIST1H1B	protein_coding	H1.5 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4719]	-0.317587026161586	0.175270774433087	0.5935698140911	-0.315446425863998	0.134564554182684	0.53516380774392	0	0.486653781684374	0.560871116863305
H1X_HUMAN	Q92522	Histone H1.10 (Histone H1x)	H1-10 H1FX	H1-10	FALSE	Histone	Epigenetic Alterations	ENSG00000184897	H1FX	protein_coding	H1.10 linker histone [Source:HGNC Symbol;Acc:HGNC:4722]	-0.420260338392366	-0.0559568532662679	0.323881493724539	-0.316783683160037	0.0423051552099318	0.390787213074578	0	0.777316580572647	0.821227440718881
H2AW_HUMAN	Q9P0M6	Core histone macro-H2A.2 (Histone macroH2A2) (mH2A2)	MACROH2A2 H2AFY2	MACROH2A2	FALSE	Histone	Epigenetic Alterations	ENSG00000099284	H2AFY2	protein_coding	macroH2A.2 histone [Source:HGNC Symbol;Acc:HGNC:14453]	-0.467157319840121	-0.0680612376212917	0.35407449517544	-0.444181605964099	-0.0686393903417971	0.32741780243191	0	0.75765213949104	0.739003120055896
H2AY_HUMAN	O75367	Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (Histone H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205)	MACROH2A1 H2AFY	MACROH2A1	FALSE	Histone	Epigenetic Alterations	ENSG00000113648	H2AFY	protein_coding	macroH2A.1 histone [Source:HGNC Symbol;Acc:HGNC:4740]	-0.374182548956557	-0.00128500570390768	0.37197024766237	-0.342859584706975	0.0130681732537944	0.365714822100184	0	0.994822095434216	0.944374093895298
H2AZ_HUMAN	P0C0S5	Histone H2A.Z (H2A/z)	H2AZ1 H2AFZ H2AZ	H2AZ1	FALSE	Histone	Epigenetic Alterations	ENSG00000164032	H2AFZ	protein_coding	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	-0.347858170910448	0.0751145179958945	0.472681360156608	-0.673248712334254	-0.386756845759417	0.000699953956566555	-1	0.733382764437196	0.0509607468138824
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000158406	HIST1H4H	protein_coding	H4 clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4788]	-0.457107652590688	-0.10130729761645	0.282444747561166	-0.472637804872386	-0.14209497506824	0.223498271734774	0	0.607986089326044	0.445749029109152
