Protein	Entry	Protein.description	Gene.names	Gene	Mitochondrion	Annotation..general.	AgingAnnotation..elife.paper.	ENSG	name	type	description	r_CTR_lower	r_CTR	r_CTR_upper	r_PAD_lower	r_PAD	r_PAD_upper	diff	r_CTR_pval	r_PAD_pval	group
HDAC6_HUMAN	Q9UBN7	Histone deacetylase 6 (HD6) (EC 3.5.1.98) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-)	HDAC6 KIAA0901 JM21	HDAC6	FALSE	Autophagy	Epigenetic Alterations	ENSG00000094631	HDAC6	protein_coding	histone deacetylase 6 [Source:HGNC Symbol;Acc:HGNC:14064]	-0.5310533388	-0.1012717451	 0.3699549384	-0.3207435013	 1.419209e-01	 5.499060e-01	 0	6.799523e-01	0.5506032952	
SPT6H_HUMAN	Q7KZ85	Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein) (Tat-CT2 protein)	SUPT6H KIAA0162 SPT6H	SUPT6H	FALSE	Chaperons	Epigenetic Alterations	ENSG00000109111	SUPT6H	protein_coding	SPT6 homolog, histone chaperone and transcription elongation factor [Source:HGNC Symbol;Acc:HGNC:11470]	-0.6006940491	-0.1029152915	 0.4523655142	-0.4379654412	 9.578770e-02	 5.796100e-01	 0	7.262610e-01	0.7341714538	
ANM1_HUMAN	Q99873	Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT1) (Interferon receptor 1-bound protein 4)	PRMT1 HMT2 HRMT1L2 IR1B4	PRMT1	FALSE	Histone	Epigenetic Alterations	ENSG00000126457	PRMT1	protein_coding	protein arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5187]	-0.3817300910	-0.0100901477	 0.3643583720	-0.5264099295	-2.115252e-01	 1.543865e-01	 0	9.593582e-01	0.2533257412	
H10_HUMAN	P07305	Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]	H1-0 H1F0 H1FV	H1-0	FALSE	Histone	Epigenetic Alterations	ENSG00000189060	H1F0	protein_coding	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	-0.4008450377	-0.0326509256	 0.3446239735	-0.2785097329	 8.413326e-02	 4.257801e-01	 0	8.689920e-01	0.6527223301	
H15_HUMAN	P16401	Histone H1.5 (Histone H1a) (Histone H1b) (Histone H1s-3)	H1-5 H1F5 HIST1H1B	H1-5	FALSE	Histone	Epigenetic Alterations	ENSG00000184357	HIST1H1B	protein_coding	H1.5 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4719]	-0.3175870262	 0.1752707744	 0.5935698141	-0.3154464259	 1.345646e-01	 5.351638e-01	 0	4.866538e-01	0.5608711169	
H1X_HUMAN	Q92522	Histone H1.10 (Histone H1x)	H1-10 H1FX	H1-10	FALSE	Histone	Epigenetic Alterations	ENSG00000184897	H1FX	protein_coding	H1.10 linker histone [Source:HGNC Symbol;Acc:HGNC:4722]	-0.4202603384	-0.0559568533	 0.3238814937	-0.3167836832	 4.230516e-02	 3.907872e-01	 0	7.773166e-01	0.8212274407	
H2AW_HUMAN	Q9P0M6	Core histone macro-H2A.2 (Histone macroH2A2) (mH2A2)	MACROH2A2 H2AFY2	MACROH2A2	FALSE	Histone	Epigenetic Alterations	ENSG00000099284	H2AFY2	protein_coding	macroH2A.2 histone [Source:HGNC Symbol;Acc:HGNC:14453]	-0.4671573198	-0.0680612376	 0.3540744952	-0.4441816060	-6.863939e-02	 3.274178e-01	 0	7.576521e-01	0.7390031201	
H2AY_HUMAN	O75367	Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (Histone H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205)	MACROH2A1 H2AFY	MACROH2A1	FALSE	Histone	Epigenetic Alterations	ENSG00000113648	H2AFY	protein_coding	macroH2A.1 histone [Source:HGNC Symbol;Acc:HGNC:4740]	-0.3741825490	-0.0012850057	 0.3719702477	-0.3428595847	 1.306817e-02	 3.657148e-01	 0	9.948221e-01	0.9443740939	
H2AZ_HUMAN	P0C0S5	Histone H2A.Z (H2A/z)	H2AZ1 H2AFZ H2AZ	H2AZ1	FALSE	Histone	Epigenetic Alterations	ENSG00000164032	H2AFZ	protein_coding	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	-0.3478581709	 0.0751145180	 0.4726813602	-0.6732487123	-3.867568e-01	 6.999540e-04	-1	7.333828e-01	0.0509607468	
H4_HUMAN	P62805	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16	FALSE	Histone	Epigenetic Alterations	ENSG00000158406	HIST1H4H	protein_coding	H4 clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4788]	-0.4571076526	-0.1013072976	 0.2824447476	-0.4726378049	-1.420950e-01	 2.234983e-01	 0	6.079861e-01	0.4457490291	
